Symbol,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PIH,PIH,"1347 Property Insurance Holdings, Inc.",7.5,44675745,n/a,n/a,Finance,Property-Casualty Insurers,"<a href='http://www.nasdaq.com/symbol/pih'>show</a>"
TURN,TURN,180 Degree Capital Corp.,1.44,44502060.96,n/a,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn
FLWS,FLWS,"1-800 FLOWERS.COM, Inc.",10.5,688475109,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,FCCY,1st Constitution Bancorp (NJ),18.45,148104459.9,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,SRCE,1st Source Corporation,48.65,1261185086,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,VNET,"21Vianet Group, Inc.",5.54,321123141.6,57964466,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,TWOU,"2U, Inc.",43.3,2045053674,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,JOBS,"51job, Inc.",39.75,1065036497,26793371,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
CAFD,CAFD,8point3 Energy Partners LP,12.18,963156727.3,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,EGHT,8x8 Inc,14.45,1313979509,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,AVHI,"A V Homes, Inc.",16.6,372537017.4,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,SHLM,"A. Schulman, Inc.",29.95,883137417.1,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,AAON,"AAON, Inc.",36.2,1905201004,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,ABAX,"ABAXIS, Inc.",48.89,1101980600,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABEO,ABEO,Abeona Therapeutics Inc.,5.2,209326426.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,ABEOW,Abeona Therapeutics Inc.,2.75,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,ABIL,Ability Inc.,1.02,26271264.84,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,ABMD,"ABIOMED, Inc.",125.03,5443723680,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,AXAS,Abraxas Petroleum Corporation,1.9,311304084.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,ACIU,AC Immune SA,9.66,549868857.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,ACIA,"Acacia Communications, Inc.",52.02,2006482823,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,ACTG,Acacia Research Corporation,5.2,262426377.2,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,ACHC,"Acadia Healthcare Company, Inc.",43.08,3783174152,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACAD,ACADIA Pharmaceuticals Inc.,32.21,3910539633,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,ACST,"Acasti Pharma, Inc.",1.29,18966297.24,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,AXDX,"Accelerate Diagnostics, Inc.",24.75,1286736264,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCP,ACCP,"Accelerated Pharma, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,XLRN,Acceleron Pharma Inc.,28.02,1081961254,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,ANCX,Access National Corporation,28.43,306096655.5,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,ARAY,Accuray Incorporated,4.65,385472477.6,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,ACRX,"AcelRx Pharmaceuticals, Inc.",2.55,115608177,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,ACET,Aceto Corporation,15.27,459836825.1,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,AKAO,"Achaogen, Inc.",22.08,790056933.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHN,ACHN,"Achillion Pharmaceuticals, Inc.",3.64,497675101.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,ACIW,"ACI Worldwide, Inc.",21.5,2522074141,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,ACRS,"Aclaris Therapeutics, Inc.",30.22,788405530.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACNB,ACNB,ACNB Corporation,30.25,183440174.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,ACOR,"Acorda Therapeutics, Inc.",15.85,735564422.5,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
SQZZ,SQZZ,Active Alts Contrarian ETF,24.74,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz
